item_name,item_cost,item_gst,item_discount,item_final_cost,item_margin,item_stock,item_restock_value,item_manufacturer_name,item_manufacturer_incharge,item_manufacturer_contact_no
Apples,123.00,10.00,5.00,122.55,50.00,356,50,APPLE,Tim Cook,0999666333
Raspberry,153.50,15.00,15.00,145.25,25.00,344,60,RASPBERRY PI,Eben Upton,0111222333
Orange,146.75,20.00,10.00,122.25,75.00,50,100,ORANGE PI,Zhao Yifan,0555666777
Bannana,123.25,5.00,5.50,123.25,10.00,564,100,BANNANA PI,U.N. Owen,0333444555
Potato,123.00,10.00,5.00,122.55,50.00,234,50,APPLE,Tim Cook,0999666333
Onion,153.50,15.00,15.00,145.25,25.00,456,60,RASPBERRY PI,Eben Upton,0111222333
Lemon,146.75,20.00,10.00,122.25,75.00,456,100,ORANGE PI,Zhao Yifan,0555666777
Walnut,123.25,5.00,5.50,123.25,10.00,574,100,BANNANA PI,U.N. Owen,0333444555
Almond,123.00,10.00,5.00,122.55,50.00,345,50,APPLE,Tim Cook,0999666333
Coconut,153.50,15.00,15.00,145.25,25.00,567,60,RASPBERRY PI,Eben Upton,0111222333
Husk,146.75,20.00,10.00,122.25,75.00,50,234,ORANGE PI,Zhao Yifan,0555666777
Muskmellon,123.25,5.00,5.50,123.25,10.00,786,100,BANNANA PI,U.N. Owen,0333444555
Cloudberry,123.00,10.00,5.00,122.55,50.00,234,50,APPLE,Tim Cook,0999666333
Cheese,153.50,15.00,15.00,145.25,25.00,456,60,RASPBERRY PI,Eben Upton,0111222333
Watermellon,146.75,20.00,10.00,122.25,75.00,456,100,ORANGE PI,Zhao Yifan,0555666777
Milk,123.25,5.00,5.50,123.25,10.00,800,100,BANNANA PI,U.N. Owen,0333444555
Strawberry,123.00,10.00,5.00,122.55,50.00,345,50,APPLE,Tim Cook,0999666333
Grapes,153.50,15.00,15.00,145.25,25.00,60,60,RASPBERRY PI,Eben Upton,0111222333
Mango,146.75,20.00,10.00,122.25,75.00,540,100,ORANGE PI,Zhao Yifan,0555666777
